fid,display_name,verified_addresses,casts_count
3,Dan Romero,"['0xd7029bdea1c17493893aafe29aad69ef892b8ff2', '0xa14b4c95b5247199d74c5578531b4887ca5e4909', '0xb877f7bb52d28f06e60f557c00a56225124b357f', '0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea']",132
280,vrypan,"['0x8b0573d1c80362db589eda39c2e30f5190d7eb51', '0x93c620d2af377c6c37e3e3c1d3e065eb04b08ae2']",82
1237,nicholas,['0x6877be9e00d0bc5886c28419901e8cc98c1c2739'],80
195091,Grey Seymour,['0xf7c0d5e897666ce6590a749ff1bd9edaf7eab2a5'],44
2,Varun Srinivasan,"['0x91031dcfdea024b4d51e775486111d2b2a715871', '0x182327170fc284caaa5b1bc3e3878233f529d741']",41
6546,"artlu.eth (🗝️,👑) - l/dau","['0x511affbf7afdf2488fb1cba6e5d19508cff2e4a5', '0x0b33c1a4ffff852bef231932c8559861ef625427', '0x0b33c1a4ffff852bef231932c8559861ef625427']",38
2458,rafa,['0xe62d071ea99a63798fec7222c483c53e87f2a32e'],36
3887,Kartik,['0x333601a803cac32b7d17a38d32c9728a93b422f4'],34
13833,Kaloh,"['0xfd0afaa85a72468b02827c418cb3b40a9a2f5467', '0x081c7f89dffc2f618a0f4347c06fdf70f52e6510']",33
1626,Graham McBain,"['0x2271fe6d76ab94352ef826d97445048bd8c4d45f', '0x9be715efb145ea9b4b1a7117e1dd15effd47c431']",33
9933,m00npapi,['0x38b2bac6431604dffec17a1e6adc649a9ea0efba'],33
4163,KMac,['0x8b80755c441d355405ca7571443bb9247b77ec16'],31
191554,ivc.lol,"['0x02de53bc44f8193e25a7e96eddbe7ac593ffed9d', '0x98a9b1596f1837eb20669edd4409fdfb02ffadf0', '0x0ee25bd99736d898130edb98d343312f6688a50a']",31
1356,borodutch 👈👈😎👖💨,['0xbf74483db914192bb0a9577f3d8fb29a6d4c08ee'],30
