fid,fname,cast_count,verified_addresses,
197256,yahav,48,['0x0c45dafd4d55d8267a4eb23656f82f9403790571'],
201308,papapumuky1,46,[],
196647,trantien2702,40,"['0x35a26eb17d48e68b84e88c9bf5ec1ff62357d57d', '0x35a26eb17d48e68b84e88c9bf5ec1ff62357d57d', '0x35a26eb17d48e68b84e88c9bf5ec1ff62357d57d', '0x35a26eb17d48e68b84e88c9bf5ec1ff62357d57d']",
199732,dulfyr,24,[],
200788,cedric-,23,"['0x4c2c49fb988a7a0a0b0148a8532d58719f6d25e3', '0x4c2c49fb988a7a0a0b0148a8532d58719f6d25e3', '0x4c2c49fb988a7a0a0b0148a8532d58719f6d25e3']",
197070,acctuallymomo,21,['0x09f656483f3280b73bedfd98eaa7b8b098d4c1a3'],
200312,rolly337,21,"['0xc7369b9c441cd9186a8729315b1a432547c768a2', '0xc7369b9c441cd9186a8729315b1a432547c768a2']",
197283,zk8778,21,['0x5f951483c6bc7f4146eee0ab2cf916ca165889ef'],
196957,maxdo,20,['0xbaba775a0400a5e442335ceaa4820edb1ded8f73'],
196695,thuylinhnguyen,20,['0x2a36b03910a0c35482f361bab3d7bb94de41f69e'],
196881,optimismdex,19,['0xbe997397211754a9a795f7b444e63ee173c99ca1'],
196687,eqvall,17,['0x23d3bb25721cb5ca107c7ac00418bd779a1ea16d'],
200079,joseymaria27,17,['0x989c5d45b59299e4b8534ea28a94c04f1cf7d118'],
196781,avalon,16,['0x85ee7b2f099578e4d4a4358a60dee344d02b2f38'],
199573,heyu,16,"['0xea355e3d98b76b06a98fe544db958abc74144476', '0xea355e3d98b76b06a98fe544db958abc74144476']",
198258,ruyriver,15,[],
196827,olas,14,[],
197045,ornamental,13,[],
198397,markfia,12,['0x1b77c678da81527cff8af74657c75140244202dd'],
197058,chotika,12,['0x8a3d3e7f1643dccf8e95830c8e5fa4ad96ce0451'],
201224,kenzodadon,11,"['0xec938599fa0d352a2208a05bfde8a6055f8b8527', '0xec938599fa0d352a2208a05bfde8a6055f8b8527']",
196767,father-abraham,11,['0x7f985b1764f79faa42a4622bb605b23c8eb5abea'],
198370,lefet1,11,['0xd7dccb0f91b9670ba685c52aab1cd43b55f4af8d'],
196931,d229,9,['0x2e5ac565c0192c764d1b9028daeb3784997ac2d6'],
196607,yidiandian,9,[],
198136,7v3rso1,8,['0x08fe597d99ff1d458d2bc96f7472aa857f378e4e'],
198392,tvnam6868,8,['0x6ecc7dfe66c2e6a1133e52a032a0e9c0f6d486e1'],
196776,axe,8,['0x29864b53c8d7509de2ccf5fb76488cfd102ddfd0'],
196775,makai,8,[],
196968,boredvc,8,[],
196774,pepe56,8,[],
196961,0xjorgeth,8,[],
199874,dion-osiris,8,"['0xfbf03983a6b308b114f4d542bd3966fd0eaaab3c', '0xfbf03983a6b308b114f4d542bd3966fd0eaaab3c', '0xfbf03983a6b308b114f4d542bd3966fd0eaaab3c']",
196762,xuanthuy,8,[],
197217,xmr,7,[],
200850,firewire70a,7,"['0x6795aea761e7977af5f14e44970db91beb27eda1', '0x6795aea761e7977af5f14e44970db91beb27eda1', '0x6795aea761e7977af5f14e44970db91beb27eda1']",
197019,vosim,7,[],
196950,marjorie,7,[],
201237,danylo,7,['0x5acbf5f4c9a9cbcc7402222009be8ff722ba407c'],
200411,darktek,7,"['0xbf01c6bff2dbc7e0c17cc34c7dfaa3e73c422c07', '0xbf01c6bff2dbc7e0c17cc34c7dfaa3e73c422c07', '0xbf01c6bff2dbc7e0c17cc34c7dfaa3e73c422c07']",
198355,devios,7,[],
197044,duongvox,7,['0xc9d3248fe89aa37cd11a96642046733801c87b7c'],
196698,cryptohunger,6,['0x398337b61fbf06ecdbe654b6ad2d26a6f826cdc8'],
199443,qiwi,6,"['0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e', '0xd3930223f7c4836475fa72a43fa6c1e308d52f5e']",
196967,moneyhunter,6,[],
200133,zvck,6,[],
200205,amy-u-zhang,6,['0x3ef89ab6692a929a2a8c70dca7973df9bfdc37ea'],
