fid,fname,cast_count,verified_addresses
210780,pointsbot,463,[]
207255,memecaster,53,['0x7167cfaa1af8f37a4c701592b4a31ef3ffb5a93d']
210882,shillmatic,49,[]
210698,blankspace,48,['0x5d2b7f517ea0c3a68e58c32f97b2b2c080ea3d6f']
210793,nikanaka,32,[]
210855,kyeder,29,['0x3eb6910ae247c03ed0801eb11cb8cb98b2023bf8']
210325,surpassinggoogle,28,"['0xa4e3d1be71e1ff77ec9eecffa4254631c06b4fc4', '0xa4e3d1be71e1ff77ec9eecffa4254631c06b4fc4', '0xa4e3d1be71e1ff77ec9eecffa4254631c06b4fc4']"
210858,supnite,27,['0xdc07a4e660388e5ae9749c41ada2721809d4066b']
210862,farpoints,25,[]
208256,bibou,25,"['0x2a7604b5d5b62690093e403c197fe335c8edb973', '0x2a7604b5d5b62690093e403c197fe335c8edb973']"
210538,keikumata,25,['0xd8068f813c45c88cebb02cbc0f91f95626ec9a34']
210760,kores,22,[]
210343,dogelonamission,21,[]
210476,jonniesparkles,20,[]
207531,hitman1987,19,[]
206756,skycai2013,18,"['0xc72222f0f453f3d97f645e9423938eb45219014a', '0xc72222f0f453f3d97f645e9423938eb45219014a', '0xc72222f0f453f3d97f645e9423938eb45219014a', '0xc72222f0f453f3d97f645e9423938eb45219014a']"
210726,jatto,18,[]
206506,will-333,18,['0x1c006053e2ce58cc593d4c0980b05a5afffb43e9']
210888,elliotwood,17,[]
207669,shredgnar,17,"['0x70d5e6a746566032ae5722aa3396a854440a60a9', '0x70d5e6a746566032ae5722aa3396a854440a60a9']"
210737,megarock,17,['0xe9a8bbb744d680a13f2e93914353dbaf656d12f6']
208976,candytoybox,16,[]
208523,freeze,15,"['0x2ff705dd6804f166e1e4e98fe9eb59c29959c7df', '0x2ff705dd6804f166e1e4e98fe9eb59c29959c7df']"
210840,ezbrah,15,[]
210579,boz-m,15,[]
209707,greentime1,14,[]
210719,fomopunk.eth,13,['0x32044b9d572d61602eeb3b6af5c7bfcdb8bb8c32']
210719,fomopunk,13,['0x32044b9d572d61602eeb3b6af5c7bfcdb8bb8c32']
206491,lsb108,13,"['0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617', '0x7e3b4b2c6b78c88b08fd0d93b2e40cdc53cd5617']"
